PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,MVP_SCORE,MVP_RANK,PROJECTED_VOTE_SHARE_PCT,UPDATED_DATE
1628932,A'ja Wilson,LVA,95.8,1,30,2026-09-25
1642286,Caitlin Clark,IND,90.6,2,11.2,2026-09-25
1629498,Jackie Young,LVA,89.8,3,9.6,2026-09-25
1643426,Olivia Miles,MIN,89,4,8.3,2026-09-25
1631022,Shakira Austin,WAS,88.7,5,7.8,2026-09-25
1627668,Breanna Stewart,NYL,87.5,6,6.2,2026-09-25
1642784,Paige Bueckers,DAL,87,7,5.7,2026-09-25
1642291,Angel Reese,ATL,84,8,3.3,2026-09-25
1629491,Jessica Shepard,DAL,83.5,9,2.9,2026-09-25
203014,Nneka Ogwumike,LAS,82.9,10,2.7,2026-09-25
1641648,Aliyah Boston,IND,82.8,11,2.6,2026-09-25
1642792,Kiki Iriafen,WAS,79.6,12,1.4,2026-09-25
1627673,Jonquel Jones,NYL,78,13,1.1,2026-09-25
1628909,Kelsey Mitchell,IND,77.8,14,1,2026-09-25
1642785,Sonia Citron,WAS,77.8,15,1,2026-09-25
203826,Alyssa Thomas,PHX,77.3,16,0.9,2026-09-25
1631007,Veronica Burton,GSV,76,17,0.7,2026-09-25
203827,Natasha Howard,MIN,76,18,0.7,2026-09-25
1631009,Rhyne Howard,ATL,75.4,19,0.6,2026-09-25
1642289,Kamilla Cardoso,CHI,73.8,20,0.5,2026-09-25
1628277,Allisha Gray,ATL,72.2,21,0.4,2026-09-25
1642304,Carla Leite,PDX,71.1,22,0.3,2026-09-25
1642798,Dominique Malonga,SEA,69.4,23,0.2,2026-09-25
203825,Kayla McBride,MIN,67.9,24,0.2,2026-09-25
1628886,Jordin Canada,ATL,66.2,25,0.1,2026-09-25
1629497,Marina Mabrey,TOR,65.2,26,0.1,2026-09-25
204324,Dearica Hamby,LAS,64.4,27,0.1,2026-09-25
1627675,Courtney Williams,MIN,63.9,28,0.1,2026-09-25
1628931,Gabby Williams,GSV,62.2,29,0.1,2026-09-25
203833,Chelsea Gray,LVA,62.1,30,0.1,2026-09-25
1642767,Janelle Salaun,GSV,59.2,31,0,2026-09-25
1627674,Kahleah Copper,PHX,57.5,32,0,2026-09-25
1631019,NaLyssa Smith,LVA,57.4,33,0,2026-09-25
1629481,Arike Ogunbowale,DAL,57.3,34,0,2026-09-25
201886,DeWanna Bonner,ATL,56.5,35,0,2026-09-25
1629567,Natisha Hiedeman,SEA,55.3,36,0,2026-09-25
1629524,Bridget Carleton,PDX,54.3,37,0,2026-09-25
1642800,Aneesah Morrow,TOR,53.5,38,0,2026-09-25
1629477,Sabrina Ionescu,NYL,53.4,39,0,2026-09-25
1629484,Megan DiLeo,PDX,52.5,40,0,2026-09-25
1630442,Natasha Mack,PHX,52.4,41,0,2026-09-25
204333,Natasha Cloud,CHI,51.2,42,0,2026-09-25
1631135,Olivia Nelson-Ododa,CON,50,43,0,2026-09-25
1631055,Nyara Sabally,TOR,49.8,44,0,2026-09-25
204330,Isabelle Harrison,TOR,48.8,45,0,2026-09-25
202664,Courtney Vandersloot,CHI,48.4,46,0,2026-09-25
1643428,Flau'jae Johnson,SEA,48.2,47,0,2026-09-25
1631083,Emily Engstler,PDX,46.8,48,0,2026-09-25
1642290,Aaliyah Edwards,CON,46.6,49,0,2026-09-25
1643445,Kiki Rice,TOR,45.4,50,0,2026-09-25
1630996,Rae Burrell,LAS,44.6,51,0,2026-09-25
1642782,Sarah Ashlee Barker,PDX,44.1,52,0,2026-09-25
1631136,Pauline Astier,NYL,40.8,53,0,2026-09-25
1628922,Azura Stevens,CHI,40.6,54,0,2026-09-25
204329,Kiah Stokes,GSV,40.2,55,0,2026-09-25
1631044,Naz Hillmon,ATL,38.2,56,0,2026-09-25
1642303,Leila Lacan,CON,37.2,57,0,2026-09-25
1642321,Sydney Taylor,CHI,36.2,58,0,2026-09-25
1628269,Nia Brodie,MIN,35.7,59,0,2026-09-25
1643443,Awa Fam,SEA,35.4,60,0,2026-09-25
203866,Kayla Thornton,GSV,35.1,61,0,2026-09-25
1643425,Azzi Fudd,DAL,34.2,62,0,2026-09-25
1643420,Laura Juskaite,TOR,34.2,63,0,2026-09-25
204365,Erica Wheeler,LAS,33.4,64,0,2026-09-25
1627700,Julie Allemand,TOR,33.2,65,0,2026-09-25
1631141,Jade Melbourne,SEA,31.3,66,0,2026-09-25
1629546,Marine Johannes,NYL,27.4,67,0,2026-09-25
1642781,Georgia Amoore,WAS,25.3,68,0,2026-09-25
1628878,Ariel Atkins,LAS,25.1,69,0,2026-09-25
1643449,Charlisse Leger-Walker,CON,24.4,70,0,2026-09-25
1630446,Michaela Onyenwere,WAS,23.2,71,0,2026-09-25
1629482,Sophie Cunningham,IND,22.9,72,0,2026-09-25
1629576,Maria Conde,TOR,22.9,73,0,2026-09-25
1629568,Kennedy Burke,CON,22.3,74,0,2026-09-25
204319,Jewell Loyd,LVA,21.4,75,0,2026-09-25
1642809,Saniya Rivers,CON,18.5,76,0,2026-09-25
1643493,Noemie Brochant,PHX,16.7,77,0,2026-09-25
1641649,Diamond Miller,CON,16.6,78,0,2026-09-25
1642777,Monique Akoa Makani,LAS,15.6,79,0,2026-09-25
1642292,Jacy Sheldon,CHI,12.5,80,0,2026-09-25
